Snap #	Nsnaps (direction corrected)	Time	Snap direction	Snap bond c.x	Snap bond c.y
216	216	376.083	-1	1579.26	1534.035
217	217	381.534	-1	1568.085	927.618
218	218	382.749	-1	287.975	1668.25
219	219	385.656	-1	1620.105	1544.275
220	220	385.986	-1	598.655	371.893
221	221	387.285	-1	665.8775	899.651
222	222	387.678	-1	1515.195	1485.445
223	223	391.035	-1	1622.615	1548.89
224	224	397.599	-1	1069.365	675.0145
225	225	409.329	-1	1321.905	454.8875
226	226	418.851	-1	659.4915	1278.35
227	227	429.348	-1	1608.78	408.055
228	228	429.618	-1	1767.535	656.7085
229	229	437.718	-1	1125.345	370.612
230	230	439.101	-1	1265.665	1307.695
231	231	441.504	-1	857.5525	1816.53
232	232	442.782	-1	1242.64	1534.795
233	233	458.634	-1	1226.005	1247.67
234	234	459.729	-1	710.3055	1000.2945
235	235	462.891	-1	1593.945	1062.615
236	236	466.914	-1	1714.595	399.3095
237	237	468.204	-1	19.25355	289.3225
238	238	470.874	-1	1391.215	946.333
239	239	472.164	-1	1246.625	1308.09
240	240	483.498	-1	1702.88	1075.685
241	241	487.824	-1	1687.65	1074.695
242	242	488.097	-1	955.0045	1770.19
243	243	497.673	-1	973.383	1743.935
244	244	497.823	-1	271.735	248.6835
245	245	499.956	-1	396.532	1104.63
246	246	502.554	-1	977.876	1731.545
247	247	505.452	-1	787.3735	412.6
248	248	511.029	-1	403.9545	507.2185
249	249	511.047	-1	1282.43	1618.59
250	250	514.095	-1	1290.37	1612.23
251	251	514.44	-1	948.708	1167.15
252	252	515.733	-1	770.5745	399.772
253	253	516.873	-1	1751.605	76.9343
254	254	520.698	-1	1819.6	442.129
255	255	524.106	-1	1208.16	390.262
256	256	526.332	-1	612.0355	903.0025
257	257	539.487	-1	72.72985	1644.04
258	258	541.179	-1	923.03	981.6215
259	259	543.483	-1	555.2945	1014.15
260	260	544.062	-1	945.5325	245.762
261	261	547.65	-1	118.8835	1711.93
262	262	554.616	-1	522.898	609.523
263	263	558.432	-1	1333.59	1195.71
264	264	567.468	-1	1056.89	994.81
265	265	568.683	-1	300.218	812.2445
266	266	569.475	-1	1290.87	1132.78
267	267	576.867	-1	679.028	333.4695
268	268	577.701	-1	645.1195	1488.48
269	269	584.796	-1	363.9775	876.911
270	270	588.465	-1	856.16	489.8405
271	271	596.712	-1	501.343	273.471
272	272	597.24	-1	163.8365	939.752
273	273	604.083	-1	150.5725	407.3255
274	274	605.058	-1	1608.435	896.5385
275	275	608.664	-1	1609.675	1389.88
276	276	614.154	-1	111.0065	432.432
277	277	614.952	-1	1201.415	802.7225
